lncipediaGeneID,ensemblGeneID
LINC00471,ENSG00000181798.2
LINC02378,ENSG00000256994.1
lnc-ZNF473-1,ENSG00000204666.3
TARID,ENSG00000227954.6
USP3-AS1,ENSG00000259248.5
lnc-CISD2-1,ENSG00000246560.2
lnc-TPGS2-1,ENSG00000267039.1
lnc-FGFR1OP2-1,ENSG00000247903.1
lnc-NXPE2-3,ENSG00000255580.1
MALAT1,ENSG00000251562.8
LINC01478,ENSG00000267337.1
BSN-DT,ENSG00000226913.1
lnc-FOXG1-5,ENSG00000258107.1
LINC00920,ENSG00000246898.1
lnc-COL4A5-1,ENSG00000237863.2
lnc-MRPL40-1,ENSG00000185065.6
LINC02394,ENSG00000258332.1
GSEC,ENSG00000280832.1
LINC01569,ENSG00000262468.5
lnc-ST8SIA4-3,ENSG00000247877.6
lnc-CMTM3-1,ENSG00000260465.1
lnc-MED6-1,ENSG00000245466.1
EPHA1-AS1,ENSG00000229153.5
lnc-CHD2-4,ENSG00000257060.6
lnc-SEPT9-3,ENSG00000267506.5
lnc-C6orf201-2,ENSG00000234817.2
lnc-C1QL4-1,ENSG00000258334.1
lnc-TIGIT-1,ENSG00000241490.1
LOXL1-AS1,ENSG00000261801.5
lnc-OR10AD1-3,ENSG00000258234.1
CACNA1C-AS1,ENSG00000246627.6
ZNF561-AS1,ENSG00000267106.5
lnc-FBXO31-12,ENSG00000261697.5
lnc-FAM168B-1,ENSG00000233221.6
LINC00629,ENSG00000227060.6
LINC01257,ENSG00000204603.6
lnc-TSPAN11-3,ENSG00000246331.2
GAS1RR,ENSG00000226237.1
lnc-YIF1A-2,ENSG00000245156.1
lnc-BHLHE41-3,ENSG00000256256.1
lnc-CA7-4,ENSG00000246777.1
HNF4A-AS1,ENSG00000229005.2
lnc-PLEKHJ1-1,ENSG00000267122.1
lnc-DNTTIP2-1,ENSG00000230439.2
lnc-BORCS5-2,ENSG00000255670.1
lnc-UBALD1-1,ENSG00000261442.1
LINC01915,ENSG00000265485.5
lnc-NXPE2-2,ENSG00000256972.1
LINC00513,ENSG00000233559.1
LINC00664,ENSG00000268658.5
PTOV1-AS1,ENSG00000268006.1
lnc-PDHX-1,ENSG00000251194.2
NRAV,ENSG00000248008.2
lnc-KMT5A-1,ENSG00000256092.2
lnc-UBE2N-3,ENSG00000258274.1
LINC00402,ENSG00000235532.1
lnc-SBF2-2,ENSG00000245522.2
NIFK-AS1,ENSG00000236859.6
lnc-PTPA-4,ENSG00000179082.3
lnc-SLC2A12-4,ENSG00000223542.1
lnc-TEX13B-1,ENSG00000236064.1
lnc-RPS24-3,ENSG00000282863.1
lnc-UCK2-1,ENSG00000224358.1
LINC02370,ENSG00000256484.1
lnc-RIMBP2-4,ENSG00000256299.1
CLIP1-AS1,ENSG00000257097.1
lnc-C12orf74-6,ENSG00000258100.1
EGOT,ENSG00000235947.1
lnc-LDHD-1,ENSG00000247033.1
lnc-MMD-2,ENSG00000262079.1
lnc-TSPAN11-4,ENSG00000257932.1
KIAA1614-AS1,ENSG00000232586.1
lnc-SPPL2A-1,ENSG00000273674.4
lnc-CDK18-1,ENSG00000224717.1
lnc-AGMAT-1,ENSG00000237301.1
KLHL7-DT,ENSG00000230658.1
lnc-DBX1-4,ENSG00000254906.1
lnc-PROC-1,ENSG00000236682.1
MIR155HG,ENSG00000234883.5
LINC02393,ENSG00000256597.2
lnc-APOC3-6,ENSG00000256717.1
lnc-CDRT15-1,ENSG00000262786.1
LINC01448,ENSG00000238284.1
lnc-DNAAF5-3,ENSG00000223855.1
lnc-NXPH1-2,ENSG00000244239.1
ZNRF3-AS1,ENSG00000177993.3
lnc-SLC39A11-1,ENSG00000227036.6
lnc-POT1-2,ENSG00000219445.2
ITGA9-AS1,ENSG00000235257.8
lnc-NUTM1-5,ENSG00000250007.6
lnc-LMNTD1-2,ENSG00000256686.1
TMEM51-AS1,ENSG00000175147.11
LINC00485,ENSG00000258169.1
lnc-WBP4-2,ENSG00000278390.4
WDFY3-AS2,ENSG00000180769.8
lnc-PDGFA-17,ENSG00000242474.2
lnc-RALB-2,ENSG00000235840.1
lnc-GATB-2,ENSG00000249818.1
lnc-JADE2-2,ENSG00000250994.1
lnc-TBP-2,ENSG00000213863.2
lnc-IRX2-6,ENSG00000248962.1
lnc-FAM241A-2,ENSG00000248656.1
lnc-ZBP1-1,ENSG00000227297.1
lnc-CASP10-1,ENSG00000234431.2
LINC01356,ENSG00000215866.7
lnc-THAP6-1,ENSG00000250735.5
lnc-TRMT61B-1,ENSG00000226833.5
lnc-ADGRV1-4,ENSG00000248864.1
lnc-ATAD2B-4,ENSG00000223634.1
LINC00313,ENSG00000185186.8
LINC00973,ENSG00000240476.1
lnc-ZNF672-1,ENSG00000227237.1
lnc-VCX3A-1,ENSG00000231217.1
lnc-NOS1AP-1,ENSG00000227818.1
lnc-TMEM17-2,ENSG00000226622.5
LINC00635,ENSG00000241469.7
LINC02036,ENSG00000225742.5
MLIP-IT1,ENSG00000236996.1
lnc-SPOPL-4,ENSG00000226939.1
LINC01483,ENSG00000227517.6
lnc-TMCC1-1,ENSG00000250643.1
lnc-ACP1-5,ENSG00000226277.1
lnc-GPBP1-2,ENSG00000248294.1
LINC01831,ENSG00000225765.1
lnc-PXDC1-1,ENSG00000228793.1
lnc-ADAMTS16-5,ENSG00000231291.3
lnc-OR10J1-1,ENSG00000224943.1
lnc-ZIC1-22,ENSG00000244358.1
lnc-DNAJB6-2,ENSG00000234210.1
LINC02085,ENSG00000241280.1
lnc-AGGF1-1,ENSG00000250615.1
LINC01795,ENSG00000225226.1
